Tabelle: 21611-0003
Cinemas, screens, cinema seats, cinema visits, average;;;;;;;;
cinema ticket price, revenue: Länder, years;;;;;;;;
Cultural statistics;;;;;;;;;;;;;;;
;;Cinemas;;Screens;;Cinema seats;;Cinema visits;;Cinema visits per inhabitant;;Average cinema ticket price;;Gross receipts from cinema visits;
;;number;number;number;number;number;number;Mill.;Mill.;number;number;EUR;EUR;Mill. EUR;Mill. EUR
Baden-Württemberg;2000;258;e;626;e;110626;e;18.5;e;1.8;e;5.57;e;103.2;e
;2001;249;e;621;e;110251;e;22.4;e;2.1;e;5.67;e;127.2;e
;2002;252;e;629;e;109265;e;21.3;e;2.0;e;5.89;e;125.3;e
;2003;262;e;656;e;111429;e;19.3;e;1.8;e;5.79;e;112.1;e
;2004;260;e;656;e;112175;e;20.8;e;1.9;e;5.81;e;120.6;e
;2005;261;e;665;e;112073;e;17.1;e;1.6;e;5.88;e;100.7;e
;2006;259;e;654;e;109128;e;19.0;e;1.8;e;5.95;e;113.0;e
;2007;255;e;650;e;106719;e;17.2;e;1.6;e;6.04;e;104.1;e
;2008;250;e;650;e;108053;e;17.9;e;1.7;e;6.14;e;109.7;e
;2009;245;e;642;e;108134;e;20.1;e;1.9;e;6.61;e;133.0;e
;2010;235;e;630;e;105426;e;17.4;e;1.6;e;7.19;e;125.5;e
;2011;228;e;614;e;101872;e;17.5;e;1.6;e;7.34;e;128.3;e
;2012;233;e;633;e;103113;e;18.6;e;1.7;e;7.47;e;139.3;e
;2013;234;e;632;e;102134;e;18.0;e;1.7;e;7.67;e;137.8;e
;2014;240;e;640;e;103344;e;16.7;e;1.6;e;7.81;e;130.6;e
;2015;243;e;650;e;105004;e;19.0;e;1.8;e;8.15;e;155.1;e
;2016;249;e;665;e;106348;e;16.4;e;1.5;e;8.22;e;135.2;e
;2017;249;e;672;e;106241;e;16.5;e;1.5;e;8.41;e;138.7;e
;2018;250;e;680;e;110405;e;13.9;e;1.3;e;8.34;e;116.1;e
;2019;255;e;691;e;106696;e;15.3;e;1.4;e;8.25;e;126.5;e
